Name,IMDB Rating,Duration,Year,Age,Genres
Aatadista,4.7,145 min,2008,13+,"Drama, Drama: Comedy, Drama: Romance, World Cinema: Indian"
Priyamana Thozhi,5.3,149 min,2005,All Ages,"Drama, World Cinema: Indian"
Ninaithadhai Mudippavan,7.2,158 min,1974,All Ages,"Drama, Drama: Crime, World Cinema: Indian"
Vaastav – The Reality,8,145 min,1999,18+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Romeo,6,149 min,2011,All Ages,"Drama, Drama: Comedy, Romance, World Cinema: Indian"
Mugavari,7.1,156 min,2000,All Ages,"Drama, World Cinema: Indian"
Love Birds,5.4,160 min,1996,All Ages,"Drama: Romance, Romance: Drama, World Cinema: Indian"
Doghat Tisra Aata Sagla Visra,5.8,120 min,2008,All Ages,"Drama: Comedy, Drama: Romance, World Cinema: Indian"
Cheppave Chirugali,6.9,152 min,2004,18+,"Drama: Romance, World Cinema: Indian"
Mukta,8.4,148 min,1994,All Ages,"Drama, World Cinema: Indian"
Lucky – No Time for Love,4.8,131 min,2005,All Ages,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian"
Challenge,5.8,134 min,2009,All Ages,"Comedy, Drama, Romance, World Cinema: Indian"
Sarivar Sari,7.6,126 min,2005,All Ages,"Drama, World Cinema: Indian"
Amodini,6.2,98 min,1995,All Ages,"Drama, Drama: Period, World Cinema: Indian"
Sagla Karun Bhagle,,118 min,2011,13+,"Comedy: Drama, Drama: Comedy, World Cinema: Indian"
Nilkanth Master,5.7,114 min,2015,All Ages,"Drama: Period, World Cinema: Indian"
Paglu,3.3,156 min,2011,13+,"Drama: Comedy, Drama: Romance, Romance: Drama, World Cinema: Indian"
Kangalal Kaithu Sei,5.3,144 min,2004,All Ages,"Drama: Romance, World Cinema: Indian"
Lady in the Water,5.6,109 min,2006,13+,"Drama: Thriller, Sci-Fi/Fantasy: Thriller"
Blue,6.1,113 min,1968,NR,"Drama, Drama: Crime, Western"
Rangbaaz,5.4,134 min,2013,All Ages,"Drama, Drama: Romance, World Cinema: Indian"
Bolona Tumi Amar,5.4,155 min,2010,13+,"Drama: Comedy, Drama: Romance, World Cinema: Indian"
Khel Mandala,8.3,128 min,2011,All Ages,"Drama, World Cinema: Indian"
Ghar,7.1,121 min,1978,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Savat Mazi Ladki,,143 min,1993,All Ages,"Drama: Comedy, World Cinema: Indian"
Sanam Teri Kasam,5.4,124 min,2009,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian"
Dui Prithibi,5.9,144 min,2010,13+,"Drama, World Cinema: Indian"
Doosara Aadmi,6.7,143 min,1977,7+,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian"
Minister Phatakeshto,7,131 min,2007,All Ages,"Drama, Drama: Political, World Cinema: Indian"
Jalwa,6.8,134 min,1987,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Purple Rain,6.5,111 min,1984,18+,"Drama: Biography, Drama: Musical, Music/Musical: Music – Rock/Pop"
Anand Ashram,7.3,127 min,1977,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Zakhm,8,112 min,1998,18+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Saaransh,8.2,131 min,1984,13+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Dulhan Wahi Jo Piya Man Bhaaye,8.1,165 min,1977,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Bhet,7.2,134 min,2002,All Ages,"Drama, World Cinema: Indian"
Naram Garam,7.5,122 min,1981,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian"
Any Given Sunday (1999),6.8,150 min,1999,18+,"Drama, Sport: Football"
Ponnumani,6.3,149 min,1993,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
HE…,,100 min,2011,18+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Nippu,3.8,157 min,2012,13+,"Drama, World Cinema: Indian"
Sedin Dekha Hoyechillo,5.8,154 min,2010,13+,"Drama, Drama: Romance, World Cinema: Indian"
Kalat Nakalat,7.7,146 min,1990,All Ages,"Drama, World Cinema: Indian"
Mashaal,7.5,169 min,1984,16+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Pail Te Sumbaran,,124 min,2009,13+,"Drama, World Cinema: Indian"
Murattukaalai,6.9,138 min,1980,All Ages,"Drama, World Cinema: Indian"
The Desperate Hours,7.6,112 min,1955,NR,Drama: Crime
Meri Jung,7.3,159 min,1985,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Middle Class Madhavan,,153 min,2001,All Ages,"Drama: Comedy, Drama: Romance, World Cinema: Indian"
Saat Paake Bandha,6.4,133 min,2009,All Ages,"Drama, Romance, World Cinema: Indian"
Hero,2.9,152 min,2008,13+,"Comedy: Drama, Drama: Romance, World Cinema: Indian"
Deedar,7.6,119 min,1951,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Romance: Drama, World Cinema: Indian"
Chitchor,7.5,102 min,1976,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian"
Kushi Kushiga,5.9,147 min,2004,All Ages,"Comedy: Romance, Drama: Comedy, World Cinema: Indian"
Gate 2 Gether,,118 min,2011,13+,"Drama: Romance, Romance: Drama, World Cinema: Indian"
Chellamay,6.2,155 min,2004,All Ages,"Drama: Romance, Romance: Thriller, World Cinema: Indian"
Karan Arjun,6.9,164 min,1995,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Police Force An Inside Story,5,136 min,2004,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Gumnaam,7.2,143 min,1965,18+,"Bollywood: Drama, Drama: Bollywood, Drama: Mystery, Thriller: Mystery, World Cinema: Indian"
Dasami,,116 min,2007,13+,"Drama: Crime, World Cinema: Indian"
Mirch Masala,7.8,122 min,1986,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Gumrah,6.3,149 min,1993,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Romance, World Cinema: Indian"
Swami,7.2,116 min,2007,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Ghara Baher,,145 min,1999,NR,"Drama, World Cinema: Indian"
Hou De Jarasa Ushir,9,133 min,2013,All Ages,"Drama, World Cinema: Indian"
Ram Lakhan,6.8,178 min,1989,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Nirbashito,7.5,107 min,2015,18+,"Drama, World Cinema: Indian"
Nuvva Nena,5.4,127 min,2012,13+,"Drama: Comedy, Romance: Drama, World Cinema: Indian"
